team,ranking,date
IND,0.8865820740650431,2021-01-08
PHX,0.9857374491177905,2021-01-08
PHI,1.0426455423315764,2021-01-08
MIN,-1.1299692134510204,2021-01-09
WAS,-0.993329909611308,2021-01-09
DET,-0.9457386202547285,2021-01-09
TOR,-0.6923701650387635,2021-01-09
DEN,-0.6314947989782134,2021-01-09
CHI,-0.4886193463154707,2021-01-09
MEM,-0.4693370483102596,2021-01-09
SAC,-0.42975032305169947,2021-01-09
MIA,-0.31500230395858453,2021-01-09
NOP,-0.2711855565545095,2021-01-09
HOU,-0.2476714105077965,2021-01-09
ATL,-0.13886562980270328,2021-01-09
BKN,-0.067152723598149,2021-01-09
POR,-0.05817995499042752,2021-01-09
MIL,-0.04565242207346817,2021-01-09
CHA,0.06524189132318618,2021-01-09
DAL,0.06617991615225502,2021-01-09
GSW,0.1316665519007828,2021-01-09
SAS,0.15198475992165122,2021-01-09
OKC,0.23183844382652524,2021-01-09
UTA,0.39956643299761346,2021-01-09
CLE,0.4273808537548208,2021-01-09
NYK,0.44655219521637424,2021-01-09
LAC,0.4526607676365191,2021-01-09
ORL,0.5443345096331191,2021-01-09
PHX,0.5541599900461963,2021-01-09
LAL,0.6696032080618344,2021-01-09
BOS,0.692784276362855,2021-01-09
IND,0.8662122945402743,2021-01-09
PHI,1.0312458598367602,2021-01-09
MIN,-1.2461802160111992,2021-01-10
WAS,-1.204060684601607,2021-01-10
DET,-0.949368482167945,2021-01-10
TOR,-0.6971863981638223,2021-01-10
SAC,-0.571741869620111,2021-01-10
CHI,-0.49713604594744654,2021-01-10
MEM,-0.4728584076791742,2021-01-10
ATL,-0.313056076134619,2021-01-10
DEN,-0.26018493822496036,2021-01-10
NOP,-0.25869689641746696,2021-01-10
HOU,-0.24016444602927103,2021-01-10
MIA,-0.10466549202803795,2021-01-10
BKN,-0.08717491922258183,2021-01-10
GSW,0.1495705167271736,2021-01-10
POR,0.14989421047024057,2021-01-10
MIL,0.17534923804092045,2021-01-10
CLE,0.18274942983280318,2021-01-10
CHA,0.1995811933770809,2021-01-10
OKC,0.22836499190602289,2021-01-10
SAS,0.2927859179032754,2021-01-10
ORL,0.2993960559382969,2021-01-10
DAL,0.31403394522435707,2021-01-10
NYK,0.4081681812709245,2021-01-10
UTA,0.41926117337142205,2021-01-10
LAC,0.48463736503020444,2021-01-10
IND,0.5816571781813554,2021-01-10
PHI,0.6226508462828207,2021-01-10
BOS,0.6816136064912227,2021-01-10
LAL,0.6918650806247323,2021-01-10
PHX,0.8074726899160882,2021-01-10
WAS,-1.2048731392170804,2021-01-11
DET,-1.0610813996981845,2021-01-11
MIN,-0.9101785994974034,2021-01-11
TOR,-0.8446954676654305,2021-01-11
CHI,-0.5858763104115381,2021-01-11
SAC,-0.5641524103314114,2021-01-11
MEM,-0.4894454270517548,2021-01-11
HOU,-0.3993318327141103,2021-01-11
ATL,-0.3403960027683533,2021-01-11
NOP,-0.2648770459570908,2021-01-11
BKN,-0.25539073300300535,2021-01-11
MIA,-0.09814889061901154,2021-01-11
SAS,0.023835562704388986,2021-01-11
DEN,0.03338625992923916,2021-01-11
NYK,0.14621298301278543,2021-01-11
MIL,0.16818428230957685,2021-01-11
POR,0.1693870150099651,2021-01-11
CLE,0.1699027316370362,2021-01-11
CHA,0.19615799090175706,2021-01-11
GSW,0.25537965792408807,2021-01-11
ORL,0.3085236233144977,2021-01-11
DAL,0.32646856200963853,2021-01-11
OKC,0.42956319020602046,2021-01-11
UTA,0.5317451936656845,2021-01-11
IND,0.5566698959714341,2021-01-11
LAC,0.6027610206774001,2021-01-11
PHI,0.6130664604124002,2021-01-11
BOS,0.6641188197851717,2021-01-11
LAL,0.8124314076583332,2021-01-11
PHX,0.8198679488876459,2021-01-11
DET,-1.0605060986329122,2021-01-12
TOR,-0.9644475241159447,2021-01-12
MIN,-0.8972309626013728,2021-01-12
WAS,-0.8800184808229927,2021-01-12
CHI,-0.5547377195517134,2021-01-12
HOU,-0.3953652025840029,2021-01-12
SAC,-0.3405315347524302,2021-01-12
NOP,-0.285848448920057,2021-01-12
BKN,-0.22336134686427692,2021-01-12
MEM,-0.20785745760696336,2021-01-12
ATL,-0.09060263506024986,2021-01-12
MIA,-0.0857425202851763,2021-01-12
CLE,-0.08417805591486152,2021-01-12
NYK,-0.027014456545066352,2021-01-12
DEN,0.02842154800347309,2021-01-12
SAS,0.032727884480140655,2021-01-12
ORL,0.08696443194209463,2021-01-12
IND,0.2605397068946968,2021-01-12
GSW,0.27086874308002784,2021-01-12
POR,0.2785223489805874,2021-01-12
DAL,0.31668887213226987,2021-01-12
CHA,0.34178006319709214,2021-01-12
PHI,0.35901267259547204,2021-01-12
MIL,0.37425247381511817,2021-01-12
OKC,0.4156615190493222,2021-01-12
PHX,0.503144349010173,2021-01-12
UTA,0.5295006858041872,2021-01-12
LAC,0.6010919471134774,2021-01-12
BOS,0.6599037703957733,2021-01-12
LAL,0.830477418398456,2021-01-12
DET,-1.0682931810059821,2021-01-13
TOR,-0.9602239177650067,2021-01-13
MIN,-0.8873571375639834,2021-01-13
WAS,-0.8747688264980874,2021-01-13
CHI,-0.5540535680407779,2021-01-13
HOU,-0.5303828416427622,2021-01-13
SAC,-0.359908427816233,2021-01-13
NOP,-0.2904208754055818,2021-01-13
MIA,-0.23867304957755855,2021-01-13
CLE,-0.21871004158147314,2021-01-13
MEM,-0.19080863010887794,2021-01-13
DEN,-0.15265826594548018,2021-01-13
